description;Zeitkonstante;Raumlufttemperatur Auslegung Kühlung (Sommer);Raumlufttemperatur Auslegung Heizen (Winter);Nettogeschossfläche;Thermische Gebäudehüllfläche;Glasanteil;U-Wert opake Bauteile;U-Wert Fenster;Abminderungsfaktor für Fensterrahmen;Aussenluft-Volumenstrom (pro NGF);Aussenluft-Volumenstrom durch Infiltration;Temperatur-Änderungsgrad der Wärmerückgewinnung;Wärmeeintragsleistung Personen (bei 24.0 deg C, bzw. 70 W);Wärmeeintragsleistung der Raumbeleuchtung;Wärmeeintragsleistung der Geräte;Vollaststunden pro Jahr (Personen);Jährliche Vollaststunden der Raumbeleuchtung;Jährliche Vollaststunden der Geräte;Gesamtenergiedurchlassgrad Verglasung
unit;h;deg C;deg C;m^2;m^2;%;W/(m^2K);W/(m^2K);-;m^3/(m^2h);m^3/(m^2h);-;W/m^2;W/m^2;W/m^2;h;h;h;-
variable;tau;theta_{a,i,summer};theta_{a,i,winter};A_NGF;A_th;f_g;U_op;U_w;F_F;q_{v, e};q_{v, inf};eta_{rec, theta};Phi_P;Phi_L;phi_A;t_P;t_L;t_A;g
1.1 Wohnen Mehrfamilienhaus;258;26;21;20;26;30;0.1;0.9;0.75;1;0.15;0.8;2.3;1.7;4;4090;1110;1780;0.5
1.2 Wohnen Einfamilienhaus;238;26;21;20;38;30;0.1;0.9;0.75;0.6;0.15;0.8;1.4;1.7;4;4090;1110;1780;0.5
2.1 Hotelzimmer;217;26;21;20;26;30;0.1;0.9;0.75;2.4;0.15;0.8;4.7;1.7;4;3120;920;1530;0.5
2.2 Empfang, Lobby;123;26;21;144;113;50;0.1;0.9;0.75;7.2;0.15;0.8;4.7;1.7;4;2890;3210;2990;0.5
3.1 Einzel-, Gruppenbüro;163;26;21;36;42;50;0.1;0.9;0.75;2.6;0.15;0.8;5;11.6;3;1500;470;1930;0.5
3.2 Grossraumbüro;180;26;21;144;127;50;0.1;0.9;0.75;3.6;0.15;0.8;7;9.1;4;1500;1290;1930;0.5
3.3 Sitzungszimmer;87;26;21;36;42;50;0.1;0.9;0.75;12;0.15;0.8;23.3;11.6;1;840;250;1410;0.5
3.4 Schalterhalle, Empfang;194;26;20;144;113;50;0.1;0.9;0.75;2.5;0.15;0.8;5.8;7.7;1.5;1500;740;1930;0.5
4.1 Schulzimmer;104;26;21;70;95;50;0.1;0.9;0.75;8.3;0.15;0.8;23.3;10.3;2;1390;560;1770;0.5
4.2 Lehrerzimmer;86;26;21;36;64;50;0.1;0.9;0.75;12;0.15;0.8;23.3;8.1;2;1090;370;1510;0.5
4.3 Bibliothek;127;26;21;144;127;50;0.1;0.9;0.75;7.2;0.15;0.8;14;4.6;1;1090;640;1510;0.5
4.4 Hörsaal;77;26;21;144;127;50;0.1;0.9;0.75;15;0.15;0.8;35;9.1;2;1390;1130;1770;0.5
4.5 Schulfachraum;121;26;21;70;95;50;0.1;0.9;0.75;6;0.15;0.8;14;10.3;1.5;1390;560;1770;0.5
5.1 Lebensmittelverkauf;183;26;20;400;376;50;0.1;0.9;0.75;3.8;0.15;0.8;8.8;6.5;-8;1650;2340;4010;0.5
5.2 Fachgeschäft;183;26;20;400;376;50;0.1;0.9;0.75;3.8;0.15;0.8;8.8;6.5;1;1650;2340;3630;0.5
5.3 Verkauf Möbel, Bau, Garten;232;26;20;400;376;50;0.1;0.9;0.75;2;0.15;0.8;4.7;6.5;1;1550;2090;3410;0.5
6.1 Restaurant;67;26;21;144;169;50;0.1;0.9;0.75;36;0.15;0.8;35;4.9;1;1300;1680;2250;0.5
6.2 Selbstbedienungsrestaurant;67;26;21;400;282;50;0.1;0.9;0.75;18;0.15;0.8;35;4.1;1;750;1010;1750;0.5
6.3 Küche zu Restaurant;62;28;20;36;64;50;0.1;0.9;0.75;20;0.15;0.8;18;11.6;150;2150;1760;2530;0.5
6.4 Küche zu Selbstbedienungsrestaurant;62;28;20;144;127;50;0.1;0.9;0.75;20;0.15;0.8;18;9.1;150;1250;1580;1730;0.5
7.1 Vorstellungsraum;117;26;21;400;494;N/A;0.1;0.9;0.75;12;0.15;0.8;23.3;7.5;1;1900;3000;2300;0.5
7.2 Mehrzweckhalle;89;26;21;400;494;50;0.1;0.9;0.75;12;0.15;0.8;23.3;7.5;2;2600;2060;2990;0.5
7.3 Ausstellungshalle;89;26;21;400;494;50;0.1;0.9;0.75;12;0.15;0.8;23.3;7.5;3;2600;2060;2900;0.5
8.1 Bettenzimmer;179;26;22;36;35;50;0.1;0.9;0.75;2.4;0.15;0.8;4.7;2.9;2;7010;2410;1750;0.5
8.2 Stationszimmer;88;26;21;36;21;50;0.1;0.9;0.75;12;0.15;0.8;23.3;11.6;3;3150;4610;3150;0.5
8.3 Behandlungsraum;114;26;22;36;42;50;0.1;0.9;0.75;10;0.15;0.8;6;7.5;5;2960;2710;3360;0.5
9.1 Produktion (grobe Arbeit);99;30;18;400;494;50;0.1;0.9;0.75;10;0.15;0.8;6;7.5;5;2960;2710;3360;0.5
9.2 Produktion (feine Arbeit);99;26;20;400;494;50;0.1;0.9;0.75;10;0.15;0.8;4.7;10.8;5;1500;910;2440;0.5
9.3 Laborraum;60;26;21;70;127;50;0.1;0.9;0.75;20;0.15;0.8;4.7;11.9;15;1500;380;2440;0.5
10.1 Lagerhalle;203;N/A;18;400;494;50;0.1;0.9;0.75;1.5;0.15;0.8;2.3;3.2;N/A;2960;2660;3160;0.5
11.1 Turnhalle;145;N/A;18;600;659;50;0.1;0.9;0.75;4.5;0.15;0.8;6;7.3;N/A;2120;1160;4270;0.5
11.2 Fitnessraum;110;26;18;144;127;50;0.1;0.9;0.75;9;0.15;0.8;12;6.9;1;2900;2060;5710;0.5
11.3 Schwimmhalle;161;30;24;400;494;50;0.1;0.9;0.75;3.6;0.15;0.8;7;7.9;1;2900;1590;5710;0.5
12.1 Verkehrsfläche;403;N/A;18;20;6;30;0.1;0.9;0.75;2;0.15;0.8;N/A;4.6;N/A;1400;1000;N/A;0.5
12.2 Verkehrsfläche 24 h;403;N/A;18;20;6;30;0.1;0.9;0.75;2;0.15;0.8;N/A;8.3;N/A;2040;4890;N/A;0.5
12.3 Treppenhaus;153;N/A;18;20;6;30;0.1;0.9;0.75;2;0.15;N/A;N/A;4.6;N/A;1400;500;N/A;0.5
12.4 Nebenraum;325;N/A;18;20;12;30;0.1;0.9;0.75;0.5;0.15;0.8;N/A;3.9;N/A;1400;250;N/A;0.5
12.5 Küche, Teeküche;72;N/A;20;20;12;30;0.1;0.9;0.75;20;0.15;0.8;35;6;30;960;130;1430;0.5
12.6 WC, Bad, Dusche;85;N/A;21;20;12;30;0.1;0.9;0.75;16;0.15;0.8;N/A;7.1;N/A;1250;130;N/A;0.5
12.7 WC;125;N/A;20;4;6;30;0.1;0.9;0.75;8;0.15;0.8;N/A;11.7;N/A;1250;460;N/A;0.5
12.8 Garderobe, Dusche;69;N/A;21;36;21;30;0.1;0.9;0.75;20;0.15;0.8;N/A;6.7;N/A;1500;150;N/A;0.5
12.9 Parkhaus;131;N/A;N/A;400;N/A;N/A;0.1;0.9;0.75;2;0.15;N/A;N/A;1.9;0.5;1750;640;2130;0.5
12.10 Wasch- und Trockenraum;192;N/A;N/A;36;21;30;0.1;0.9;0.75;4;0.15;0.8;N/A;6.7;15;1750;180;1720;0.5
12.11 Kühlraum;1076;2;2;36;21;N/A;0.1;0.9;0.75;N/A;0.15;N/A;N/A;3.7;N/A;N/A;N/A;3180;0.5
12.12 Serverraum;478;26;18;20;14;N/A;0.1;0.9;0.75;2;0.15;0.8;N/A;4.3;50;1750;N/A;7010;0.5
