description,Zeitkonstante,Raumlufttemperatur Auslegung Kuehlung (Sommer),Raumlufttemperatur Auslegung Heizen (Winter),Nettogeschossflaeche,Thermische Gebaeudehuellflaeche,Glasanteil,U-Wert opake Bauteile,U-Wert Fenster,Abminderungsfaktor fuer Fensterrahmen,Aussenluft-Volumenstrom (pro NGF),Aussenluft-Volumenstrom durch Infiltration,Temperatur-Aenderungsgrad der Waermerueckgewinnung,"Waermeeintragsleistung Personen (bei 24.0 deg C, bzw. 70 W)",Waermeeintragsleistung der Raumbeleuchtung,Waermeeintragsleistung der Geraete,Vollaststunden pro Jahr (Personen),Jaehrliche Vollaststunden der Raumbeleuchtung,Jaehrliche Vollaststunden der Geraete,Gesamtenergiedurchlassgrad Verglasung,Gesamtenergiedurchlassgrad Verglasung und Sonnenschutz,Kosten opake Bauteile,Kosten transparente Bauteile,Emissionen opake Bauteile,Emissionen transparente Bauteile,Strahlungsleistung fuer Betaetigung Sonnenschutz
"1.1 Wohnen Mehrfamilienhaus",182,26,21,20,26,30,0.2,1.2,0.75,1,0.15,0.7,2.3,2.7,8,4090,1450,1780,0.5,0.14,347,467,63,64,200
"1.2 Wohnen Einfamilienhaus",164,26,21,20,38,30,0.2,1.2,0.75,0.6,0.15,0.7,1.4,2.7,8,4090,1450,1780,0.5,0.14,347,467,63,64,200
"2.1 Hotelzimmer",151,26,21,20,26,30,0.2,1.2,0.75,2.4,0.15,0.7,4.7,2.7,8,3120,1150,1530,0.5,0.14,347,467,63,64,200
"2.2 Empfang, Lobby",86,26,21,144,113,50,0.2,1.2,0.75,7.2,0.15,0.7,4.7,2.7,8,2890,3900,2990,0.5,0.14,347,467,63,64,200
"3.1 Einzel-, Gruppenbuero",117,26,21,36,42,50,0.2,1.2,0.75,2.6,0.15,0.7,5,15.9,7,1500,1210,1930,0.5,0.14,347,467,63,64,200
"3.2 Grossraumbuero",126,26,21,144,127,50,0.2,1.2,0.75,3.6,0.15,0.7,7,12.5,10,1500,1860,1930,0.5,0.14,347,467,63,64,200
"3.3 Sitzungszimmer",60,26,21,36,42,50,0.2,1.2,0.75,12,0.15,0.7,23.3,15.9,2,840,660,1410,0.5,0.14,347,467,63,64,200
"3.4 Schalterhalle, Empfang",139,26,20,144,113,50,0.2,1.2,0.75,2.5,0.15,0.7,5.8,11,4,1500,1310,1930,0.5,0.14,347,467,63,64,200
"4.1 Schulzimmer",72,26,21,70,95,50,0.2,1.2,0.75,8.3,0.15,0.7,23.3,14,4,1390,1180,1770,0.5,0.14,347,467,63,64,200
"4.2 Lehrerzimmer",59,26,21,36,64,50,0.2,1.2,0.75,12,0.15,0.7,23.3,11.6,4,1090,1090,1510,0.5,0.14,347,467,63,64,200
"4.3 Bibliothek",88,26,21,144,127,50,0.2,1.2,0.75,7.2,0.15,0.7,14,6.9,2,1090,1240,1510,0.5,0.14,347,467,63,64,200
"4.4 Hoehrsaal",53,26,21,144,127,50,0.2,1.2,0.75,15,0.15,0.7,35,12.5,4,1390,1630,1770,0.5,0.14,347,467,63,64,200
"4.5 Schulfachraum",84,26,21,70,95,50,0.2,1.2,0.75,6,0.15,0.7,14,14,4,1390,1180,1770,0.5,0.14,347,467,63,64,200
"5.1 Lebensmittelverkauf",127,26,20,400,376,50,0.2,1.2,0.75,3.8,0.15,0.7,8.8,9.3,-10,1650,2670,4010,0.5,0.14,347,467,63,64,200
"5.2 Fachgeschaeft",127,26,20,400,376,50,0.2,1.2,0.75,3.8,0.15,0.7,8.8,9.3,2,1650,2670,3630,0.5,0.14,347,467,63,64,200
"5.3 Verkauf Moebel, Bau, Garten",163,26,20,400,376,50,0.2,1.2,0.75,2,0.15,0.7,4.7,9.3,2,1550,2420,3410,0.5,0.14,347,467,63,64,200
"6.1 Restaurant",46,26,21,144,169,50,0.2,1.2,0.75,36,0.15,0.7,35,6.9,2,1300,2430,2250,0.5,0.14,347,467,63,64,200
"6.2 Selbstbedienungsrestaurant",46,26,21,400,282,50,0.2,1.2,0.75,18,0.15,0.7,35,6.1,2,750,1440,1750,0.5,0.14,347,467,63,64,200
"6.3 Kueche zu Restaurant",42,28,20,36,64,50,0.2,1.2,0.75,20,0.15,0.7,18,15.9,200,2150,2310,2530,0.5,0.14,347,467,63,64,200
"6.4 Kueche zu Selbstbedienungsrestaurant",42,28,20,144,127,50,0.2,1.2,0.75,20,0.15,0.7,18,12.5,200,1250,1830,1730,0.5,0.14,347,467,63,64,200
"7.1 Vorstellungsraum",78,26,21,400,494,NaN,0.2,1.2,0.75,12,0.15,0.7,23.3,10.8,2,1900,3000,2300,0.5,0.14,347,467,63,64,200
"7.2 Mehrzweckhalle",61,26,21,400,494,50,0.2,1.2,0.75,12,0.15,0.7,23.3,10.8,4,2600,2770,2990,0.5,0.14,347,467,63,64,200
"7.3 Ausstellungshalle",61,26,21,400,494,50,0.2,1.2,0.75,12,0.15,0.7,23.3,10.8,7,2600,2770,2900,0.5,0.14,347,467,63,64,200
"8.1 Bettenzimmer",128,26,22,36,35,50,0.2,1.2,0.75,2.4,0.15,0.7,4.7,4.5,4,7010,3020,1750,0.5,0.14,347,467,63,64,200
"8.2 Stationszimmer",61,26,21,36,21,50,0.2,1.2,0.75,12,0.15,0.7,23.3,15.9,7,3150,5480,3150,0.5,0.14,347,467,63,64,200
"8.3 Behandlungsraum",80,26,22,36,42,50,0.2,1.2,0.75,10,0.15,0.7,6,10.8,10,2960,3980,3360,0.5,0.14,347,467,63,64,200
"9.1 Produktion (grobe Arbeit)",68,30,18,400,494,50,0.2,1.2,0.75,10,0.15,0.7,6,10.8,10,2960,3980,3360,0.5,0.14,347,467,63,64,200
"9.2 Produktion (feine Arbeit)",68,26,20,400,494,50,0.2,1.2,0.75,10,0.15,0.7,4.7,14.7,10,1500,1560,2440,0.5,0.14,347,467,63,64,200
"9.3 Laborraum",41,26,21,70,127,50,0.2,1.2,0.75,20,0.15,0.7,4.7,16.2,20,1500,1140,2440,0.5,0.14,347,467,63,64,200
"10.1 Lagerhalle",144,NaN,18,400,494,50,0.2,1.2,0.75,1.5,0.15,0.7,2.3,4.8,NaN,2960,3940,3160,0.5,0.14,347,467,63,64,200
"11.1 Turnhalle",102,NaN,18,600,659,50,0.2,1.2,0.75,4.5,0.15,0.7,6,10.5,NaN,2120,1920,4270,0.5,0.14,347,467,63,64,200
"11.2 Fitnessraum",76,26,18,144,127,50,0.2,1.2,0.75,9,0.15,0.7,12,9.9,2,2900,3000,5710,0.5,0.14,347,467,63,64,200
"11.3 Schwimmhalle",113,30,24,400,494,50,0.2,1.2,0.75,3.6,0.15,0.7,7,11.3,2,2900,2630,5710,0.5,0.14,347,467,63,64,200
"12.1 Verkehrsflaeche",294,NaN,18,20,6,30,0.2,1.2,0.75,2,0.15,0.7,NaN,7,NaN,1400,2970,NaN,0.5,0.14,347,467,63,64,200
"12.2 Verkehrsflaeche 24 h",294,NaN,18,20,6,30,0.2,1.2,0.75,2,0.15,0.7,NaN,12.3,NaN,2040,6440,NaN,0.5,0.14,347,467,63,64,200
"12.3 Treppenhaus",144,NaN,18,20,6,30,0.2,1.2,0.75,2,0.15,NaN,NaN,7,NaN,1400,2970,NaN,0.5,0.14,347,467,63,64,200
"12.4 Nebenraum",242,NaN,18,20,12,30,0.2,1.2,0.75,0.5,0.15,0.7,NaN,6,NaN,1400,2170,NaN,0.5,0.14,347,467,63,64,200
"12.5 Kueche", Teekueche",49,NaN,20,20,12,30,0.2,1.2,0.75,20,0.15,0.7,35,8.9,40,960,1240,1430,0.5,0.14,347,467,63,64,200
"12.6 WC", Bad, Dusche",58,NaN,21,20,12,30,0.2,1.2,0.75,16,0.15,0.7,NaN,10.5,NaN,1250,1240,NaN,0.5,0.14,347,467,63,64,200
"12.7 WC",88,NaN,20,4,6,30,0.2,1.2,0.75,8,0.15,0.7,NaN,17.2,NaN,1250,2300,NaN,0.5,0.14,347,467,63,64,200
"12.8 Garderobe", Dusche",47,NaN,21,36,21,30,0.2,1.2,0.75,20,0.15,0.7,NaN,9.9,NaN,1500,1490,NaN,0.5,0.14,347,467,63,64,200
"12.9 Parkhaus",131,NaN,NaN,400,NaN,NaN,0.2,1.2,0.75,2,0.15,NaN,NaN,2.9,1,1750,3210,2130,0.5,0.14,347,467,63,64,200
"12.10 Wasch- und Trockenraum",137,NaN,NaN,36,21,30,0.2,1.2,0.75,4,0.15,0.7,NaN,9.9,20,1750,1730,1720,0.5,0.14,347,467,63,64,200
"12.11 Kuehlraum",768,2,2,36,21,NaN,0.2,1.2,0.75,NaN,0.15,NaN,NaN,5.7,NaN,NaN,NaN,3180,0.5,0.14,347,467,63,64,200
"12.12 Serverraum",326,26,18,20,14,NaN,0.2,1.2,0.75,2,0.15,0.7,NaN,6.6,100,1750,NaN,7010,0.5,0.14,347,467,63,64,200
